t,V10,N10,m10,h10,V30,N30,m30,h30,V50,N50,m50,h50,V100,N100,m100,h100
0,0,0.317676914,0.052932485,0.596120754,0,0.317676914,0.052932485,0.596120754,0,0.317676914,0.052932485,0.596120754,0,0.317676914,0.052932485,0.596120754
0.1,0.969322087,0.317815038,0.054066809,0.595917681,2.907988657,0.318100608,0.056390589,0.595492951,4.846783463,0.318398887,0.058794604,0.595039668,9.694465909,0.319201831,0.065207832,0.593750427
0.2,1.88778251,0.31822154,0.056911224,0.595315536,5.667690351,0.319383225,0.065453249,0.593546422,9.455015678,0.320644856,0.074839059,0.59150744,18.97072267,0.324248245,0.102469718,0.584775226
0.3,2.768633837,0.318886839,0.060910046,0.594321023,8.341688018,0.32154748,0.079118299,0.590149821,13.98458361,0.324545325,0.100571339,0.584926964,28.64111325,0.33355966,0.169801892,0.565546215
0.4,3.623767149,0.319804162,0.065750812,0.592935971,11.02632247,0.324634212,0.097189127,0.585106864,18.78667659,0.33030266,0.137164261,0.574392007,41.49383958,0.348558038,0.278376244,0.532671733
0.5,4.465171891,0.320969738,0.071266521,0.591157029,13.88591056,0.328728675,0.120136139,0.57810143,24.6597832,0.338367154,0.188236425,0.558303962,64.39658088,0.373341372,0.452610733,0.487932428
0.6,5.305883486,0.322383322,0.077385203,0.588974684,17.21453863,0.334012625,0.149379219,0.568564822,33.45236037,0.349883457,0.263168003,0.533535714,96.94371489,0.414579245,0.686074779,0.441977255
0.7,6.16090294,0.324049016,0.0841053,0.586371599,21.57384958,0.340873427,0.188134439,0.555369742,49.43679486,0.367803067,0.383957264,0.496279957,109.7439747,0.466483868,0.859045481,0.399960249
0.8,7.048383798,0.325976484,0.091486886,0.583320042,28.14127395,0.350160271,0.243468968,0.536154652,78.18159266,0.39838899,0.577445114,0.451373072,109.001384,0.515631116,0.939033162,0.361928629
0.9,7.991400064,0.328182772,0.099654825,0.579777907,39.60314303,0.363843633,0.331046962,0.50660492,103.5526777,0.444556115,0.784299125,0.408560913,106.3238656,0.559066938,0.972685181,0.327520417
1,9.020777309,0.330695109,0.108814083,0.575682385,61.37104423,0.386459132,0.47983629,0.465236087,107.9345956,0.494357371,0.904263941,0.369717812,102.8596143,0.597022077,0.986864764,0.296394357
1.1,10.17986265,0.333555418,0.119281638,0.570939484,92.06768699,0.424339648,0.688983736,0.421604721,106.1141582,0.539573555,0.957253362,0.334569744,98.77594049,0.629945265,0.992807377,0.268242278
1.2,11.53296085,0.336827895,0.131545832,0.565405768,106.1998241,0.472950517,0.853961595,0.381543614,103.0296597,0.579347353,0.979917291,0.302772964,94.23378733,0.658314885,0.99512504,0.242787122
1.3,13.18111006,0.340612467,0.146376904,0.558854566,106.3732394,0.519989753,0.934867414,0.345271408,99.18723433,0.6139858,0.989607624,0.274012939,89.39178336,0.682611196,0.995697435,0.219780768
1.4,15.2934809,0.345070202,0.165040896,0.550909028,103.8258012,0.56184829,0.970029079,0.312454754,94.78963421,0.643920836,0.993629006,0.24800649,84.38908215,0.703295059,0.995259199,0.19900228
1.5,18.1746539,0.350475074,0.189739079,0.540898809,100.3076036,0.598478978,0.98519211,0.282770134,90.01480441,0.669614691,0.995015881,0.224499865,79.33735094,0.720792789,0.994043509,0.180256539
1.6,22.42059891,0.3573291,0.224574284,0.527532894,96.12395144,0.630247362,0.991668034,0.255924877,85.01808896,0.691525959,0.995000118,0.203267025,74.31976763,0.735487696,0.992041522,0.163373222
1.7,29.30469096,0.366642653,0.277794061,0.508189725,91.47644666,0.657592962,0.994219385,0.231656282,79.92558684,0.710087901,0.994031497,0.184108355,69.39393863,0.747717163,0.989104507,0.148205998
1.8,41.68720531,0.38064342,0.366606279,0.478466211,86.53772519,0.680971045,0.994821109,0.209729884,74.83253335,0.725695575,0.99219543,0.16684978,64.59649365,0.757773584,0.984980542,0.134631775
1.9,64.586828,0.404093909,0.518671573,0.438188329,81.45001834,0.700822811,0.99424967,0.189938099,69.80578222,0.73869991,0.98938081,0.151342194,59.94795621,0.765907634,0.979323512,0.122549727
2,93.30774534,0.442259018,0.719423359,0.396956957,76.32295108,0.717557396,0.992741307,0.172099297,64.88835453,0.749406731,0.985343057,0.137461061,55.45706274,0.772332699,0.971690709,0.111879729
2.1,104.7769057,0.489059289,0.867660924,0.359240911,71.235257,0.731542452,0.990260841,0.156057266,60.10452616,0.75807888,0.979722075,0.125105902,51.1239922,0.777229637,0.96153689,0.102559741
2.2,104.5445536,0.533747273,0.939845202,0.32509547,66.23905724,0.743100871,0.986607089,0.141680918,55.46445752,0.76494003,0.972040319,0.11419927,46.94206464,0.780751264,0.948209105,0.094541789
2.3,101.805381,0.573455824,0.971641187,0.294204299,61.36508328,0.752511547,0.981448269,0.128864041,50.96766078,0.770179137,0.961692358,0.104684632,42.89756498,0.783026089,0.930943853,0.08778665
2.4,98.08143786,0.608147911,0.985525774,0.266263866,56.62768103,0.760012456,0.974326384,0.11752469,46.60467144,0.773954763,0.947931324,0.096522608,38.96763459,0.784160886,0.90886444,0.082258238
2.5,93.7133319,0.638168994,0.991483271,0.240999943,52.02878353,0.76580481,0.964647498,0.107603655,42.35629672,0.776398611,0.929853523,0.089685464,35.11677566,0.784241823,0.880971829,0.077919635
2.6,88.92041794,0.663944623,0.993763058,0.218166978,47.56012799,0.770057367,0.951665608,0.099061337,38.19004974,0.777617652,0.906376759,0.084150864,31.2933585,0.783334196,0.846120151,0.07473278
2.7,83.8787685,0.6859161,0.994134503,0.19754673,43.20295838,0.772910117,0.934462539,0.091872659,34.0540582,0.777694344,0.876200096,0.079897268,27.42853037,0.781481346,0.802975902,0.072662585
2.8,78.72635296,0.704508875,0.99328024,0.178947254,38.92454238,0.774476617,0.911920095,0.086020624,29.86995191,0.776684816,0.837726803,0.076903893,23.44170403,0.778704158,0.7499907,0.071684177
2.9,73.56498299,0.720114904,0.991378546,0.162202324,34.67138503,0.774844316,0.882671446,0.081490746,25.52825403,0.774615708,0.788941429,0.075156735,19.26077173,0.775003947,0.685495328,0.071790572
3,68.46453262,0.733084147,0.988341917,0.147171211,30.36019694,0.774072479,0.845008793,0.078269682,20.89473175,0.771481991,0.727289358,0.074659759,14.87081245,0.770373566,0.608177805,0.072997328
3.1,63.46858154,0.743722166,0.983909254,0.133738654,25.86982524,0.772188161,0.796726169,0.076350551,15.84894277,0.767251483,0.649798973,0.075449077,10.39980537,0.764822767,0.518376238,0.07533768
3.2,58.60020017,0.75229148,0.977674132,0.12181471,21.04275663,0.769182376,0.734925666,0.075745004,10.39649376,0.761887503,0.554169508,0.077606756,6.197328268,0.758417805,0.42027102,0.07883233
3.3,53.86690629,0.759014924,0.969084054,0.111333964,15.72041926,0.76501262,0.656018762,0.076500855,4.873569982,0.755403125,0.442120876,0.081254996,2.762166115,0.751314614,0.323185777,0.083418943
