t,V,N,m,h
0.0,0.0,0.3176769140606974,0.05293248525724958,0.5961207535084603
0.1,0.96932208717358,0.3178150377719482,0.05406680909432553,0.5959176810934679
0.2,1.8877825101247023,0.318221539707991,0.05691122378800835,0.5953155364206457
0.3,2.7686338373458272,0.3188868389973411,0.060910045834777805,0.5943210227120908
0.4,3.6237671492648937,0.3198041616936721,0.0657508118597826,0.5929359707174698
0.5,4.465171891389678,0.320969737786684,0.0712665214576782,0.5911570288774446
0.6,5.30588348606819,0.3223833218891789,0.07738520288129401,0.5889746837799545
0.7,6.160902939891998,0.32404901579009604,0.08410529960090586,0.5863715989180572
0.8,7.0483837976774515,0.32597648430838355,0.09148688645559788,0.5833200420675069
0.9,7.991400063704456,0.3281827722838302,0.09965482501970879,0.5797779065846301
1.0,9.020777308956541,0.33069510944595437,0.10881408274178336,0.5756823847087673
1.1,10.17986264516112,0.3335554183638822,0.11928163826854991,0.5709394839169898
1.2,11.532960853589943,0.3368278954073652,0.13154583225402317,0.5654057675983365
1.3,13.181110059059288,0.34061246740139234,0.14637690423524763,0.5588545660015565
1.4,15.293480900692373,0.3450702015441834,0.16504089579193837,0.5509090278650752
1.5,18.174653898960294,0.3504750741117243,0.18973907940468637,0.5408988093892685
1.6,22.420598905547863,0.3573290997871795,0.22457428391587345,0.5275328942526543
1.7,29.304690960874815,0.3666426532591347,0.27779406103091975,0.508189724753441
1.8,41.68720531056073,0.38064342022271613,0.36660627936714013,0.4784662113354567
1.9,64.58682800116128,0.4040939088225279,0.5186715731117134,0.438188328708481
2.0,93.30774533699696,0.44225901820812524,0.719423359051208,0.3969569568844127
2.1,104.7769056948233,0.4890592892014252,0.8676609240403403,0.3592409107499576
2.2,104.54455362011446,0.5337472734646899,0.9398452017689616,0.32509547049098786
2.3,101.80538096316546,0.5734558235678646,0.9716411873937101,0.29420429889511074
2.4,98.08143785995189,0.6081479111923601,0.9855257743822342,0.2662638663652592
2.5,93.71333190129097,0.6381689940213031,0.9914832711478189,0.24099994290433913
2.6,88.92041794186225,0.6639446231298428,0.9937630578395428,0.21816697799592896
2.7,83.87876850048202,0.6859160996790027,0.9941345027085121,0.1975467295056183
2.8,78.72635295583488,0.7045088752987003,0.9932802399573998,0.17894725358999652
2.9,73.56498298705674,0.7201149043589091,0.9913785456534763,0.16220232387845612
3.0,68.46453262074688,0.7330841467965349,0.9883419172317252,0.14717121104761516
3.1,63.46858153733423,0.7437221664323846,0.9839092541103713,0.1337386540975878
3.2,58.60020016791959,0.7522914799831745,0.9776741318761544,0.12181471007912155
3.3,53.866906288590684,0.7590149238893348,0.9690840538816828,0.1113339642636587
3.4,49.263988142531815,0.7640797871954809,0.9574259083634039,0.10225338203506328
3.5,44.77534619468654,0.7676417374176879,0.9418037434736292,0.09454812486347493
3.6,40.37093378386873,0.7698276569465455,0.9211077877606337,0.08820535304177518
3.7,36.000156063320375,0.7707365265166968,0.8939635619446287,0.08321763253654475
3.8,31.581542077731637,0.7704376658486812,0.8586362742804271,0.0795793475989169
3.9,26.990931522964043,0.7689662727814288,0.8128566607933401,0.07728977653867744
4.0,22.055153401192836,0.7663177887215662,0.753560274124761,0.07636447533309744
4.1,16.57322561793982,0.7624464827726632,0.6766941100376679,0.07685496030911654
4.2,10.426031722218859,0.7572822766902036,0.5778490590855988,0.07887827688547835
4.3,3.868191580067183,0.7507906823731104,0.4559351005617761,0.08264573975103343
4.4,-2.143966261194129,0.7430826473590318,0.3218929249045453,0.08839239809581276
4.5,-6.406964961757842,0.7344837366746153,0.20194030133775356,0.09606049624661944
4.6,-8.678192490441774,0.7254212722276052,0.11741773691752896,0.10508483153686321
4.7,-9.645057096204326,0.7162268142019041,0.06780948147954005,0.11476065387215767
4.8,-9.99000346135771,0.7070773295959559,0.041490231872108936,0.12462589385663798
